time,temperature_c,wind_speed_kmph,city,extrcted_at
2025-12-09T00:00,63,1.6,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T01:00,62,1.5,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T02:00,62,1.5,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T03:00,61,1.8,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T04:00,62,1.5,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T05:00,73,1.6,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T06:00,72,2.0,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T07:00,72,2.5,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T08:00,69,1.6,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T09:00,49,6.9,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T10:00,40,9.4,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T11:00,36,11.6,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T12:00,31,12.7,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T13:00,26,13.1,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T14:00,22,13.2,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T15:00,23,12.8,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T16:00,25,11.7,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T17:00,32,7.7,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T18:00,42,5.9,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T19:00,48,4.8,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T20:00,51,4.1,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T21:00,52,3.8,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T22:00,52,3.3,hyderabad,2025-12-09 10:43:52.674420
2025-12-09T23:00,53,2.3,hyderabad,2025-12-09 10:43:52.674420
